type,subtype,updated_type,updated_subtype,updated_subsubtype,binned_latitude,binned_longitude,alert_count
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.84,-87.65,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.86,-87.65,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.87,-87.72,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.69,-87.68,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.87,-87.77,5
HAZARD,HAZARD_ON_ROAD_POT_HOLE,Hazard,On_road,Pot_hole,41.96,-87.79,5
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,Hazard,On_road,Emergency_vehicle,41.92,-87.76,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.79,-87.64,5
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,Hazard,On_road,Emergency_vehicle,41.89,-87.72,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.69,-87.61,5
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,42.0,-87.74,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.88,-87.66,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.78,-87.64,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.78,-87.57,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.89,-87.62,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.73,-87.66,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.83,-87.63,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.71,-87.69,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.71,-87.66,5
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.86,-87.66,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.79,-87.68,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.79,-87.64,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.8,-87.76,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.68,-87.67,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.68,-87.65,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.96,-87.67,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.81,-87.58,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.8,-87.68,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.97,-87.72,5
HAZARD,HAZARD_ON_ROAD_POT_HOLE,Hazard,On_road,Pot_hole,41.75,-87.69,5
HAZARD,HAZARD_ON_ROAD_POT_HOLE,Hazard,On_road,Pot_hole,41.76,-87.8,5
HAZARD,HAZARD_ON_ROAD_POT_HOLE,Hazard,On_road,Pot_hole,41.76,-87.72,5
ROAD_CLOSED,Unclassified,Road_closed,Unclassified,Unclassified,41.76,-87.62,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.92,-87.63,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.94,-87.84,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.94,-87.72,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.94,-87.64,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.95,-87.84,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.82,-87.63,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.97,-87.74,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.79,-87.73,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.79,-87.69,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.84,-87.74,5
HAZARD,HAZARD_ON_ROAD,Hazard,On_road,Unclassified,41.68,-87.64,5
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,Hazard,On_road,Emergency_vehicle,41.91,-87.72,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.81,-87.71,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.95,-87.64,5
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Hazard,On_road,Construction,41.86,-87.61,5
HAZARD,HAZARD_WEATHER_FLOOD,Hazard,Weather,Flood,41.81,-87.64,5
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.95,-87.74,5
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.95,-87.67,5
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.95,-87.66,5
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.96,-87.67,5
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Hazard,On_road,Traffic_light_fault,41.82,-87.67,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.94,-87.75,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.94,-87.68,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.94,-87.63,5
JAM,JAM_MODERATE_TRAFFIC,Jam,Moderate_traffic,Unclassified,41.95,-87.79,5
JAM,JAM_STAND_STILL_TRAFFIC,Jam,Stand_still_traffic,Unclassified,41.82,-87.64,5
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,Hazard,On_road,Emergency_vehicle,41.94,-87.84,5
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.82,-87.65,5
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On_shoulder,Car_stopped,41.82,-87.64,5
HAZARD,HAZARD_ON_ROAD_EMERGENCY_VEHICLE,Hazard,On_road,Emergency_vehicle,41.92,-87.72,5
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.87,-87.69,5
HAZARD,Unclassified,Hazard,Unclassified,Unclassified,41.97,-87.84,5
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Hazard,On_road,Construction,41.83,-87.62,5
